Area_sqft,Bedrooms,Bathrooms,Age_years,Parking_spaces,Location,Property_Type,Furnishing,Price
2027,3,3.0,13.0,3,Thane,Apartment,Semi-Furnished,26744798.0
695,5,4.0,11.0,3,Nagpur,Apartment,Semi-Furnished,6723562.0
4131,1,1.0,27.0,2,Nashik,Villa,Semi-Furnished,25085612.0
1438,1,2.0,13.0,3,Pune,Apartment,Furnished,14798026.0
907,2,2.0,30.0,2,Pune,Independent House,Unfurnished,9141455.0
2987,5,3.0,24.0,2,Nashik,Independent House,Unfurnished,19611605.0
1434,3,4.0,25.0,0,Mumbai,Apartment,Furnished,27337105.0
3932,4,1.0,23.0,1,Thane,Independent House,Unfurnished,49478175.0
2275,1,4.0,36.0,3,Pune,Villa,Semi-Furnished,22658565.0
518,4,3.0,10.0,1,Nashik,Independent House,Unfurnished,5798483.0
4306,1,4.0,39.0,2,Pune,Apartment,Semi-Furnished,39344871.0
2558,4,1.0,8.0,3,Nashik,Independent House,Semi-Furnished,17575708.0
1551,1,4.0,5.0,1,Pune,Apartment,Semi-Furnished,15681043.0
3209,5,2.0,33.0,1,Mumbai,Apartment,Semi-Furnished,60067434.0
2622,2,2.0,35.0,0,Pune,Independent House,Unfurnished,23810066.0
618,1,1.0,3.0,0,Nashik,Apartment,Unfurnished,4173273.0
3538,2,4.0,23.0,2,Mumbai,Apartment,Semi-Furnished,65721286.0
2105,1,4.0,20.0,2,Nagpur,Apartment,Unfurnished,10807604.0
3299,1,1.0,8.0,1,Pune,Apartment,Semi-Furnished,31650434.0
4082,3,2.0,20.0,1,Nashik,Apartment,Semi-Furnished,23692037.0
2942,2,3.0,27.0,0,Nashik,Apartment,Semi-Furnished,16590429.0
3186,2,3.0,22.0,3,Pune,Apartment,Semi-Furnished,30631747.0
1518,5,1.0,20.0,2,Pune,Independent House,Furnished,17945109.0
1450,1,2.0,35.0,0,Mumbai,Apartment,Semi-Furnished,25444169.0
2160,2,2.0,9.0,2,Nashik,Independent House,Unfurnished,14408162.0
3911,1,2.0,24.0,1,Thane,Apartment,Furnished,49087893.0
2596,3,4.0,12.0,3,Pune,Villa,Unfurnished,27501099.0
1892,2,1.0,38.0,1,Nagpur,Villa,Furnished,11159574.0
3618,1,3.0,10.0,3,Nagpur,Independent House,Unfurnished,19230532.0
3913,1,4.0,34.0,2,Nagpur,Apartment,Semi-Furnished,19345186.0
4110,5,4.0,25.0,0,Nashik,Apartment,Semi-Furnished,25215565.0
1695,1,4.0,8.0,3,Thane,Independent House,Unfurnished,23493865.0
3338,4,1.0,30.0,2,Nashik,Villa,Semi-Furnished,21214178.0
2861,5,1.0,9.0,1,Thane,Apartment,Unfurnished,36573196.0
2295,3,4.0,10.0,0,Pune,Villa,Semi-Furnished,24604096.0
2087,2,3.0,13.0,1,Thane,Villa,Furnished,28175597.0
958,4,3.0,27.0,2,Thane,Apartment,Semi-Furnished,12834635.0
1599,5,2.0,15.0,0,Thane,Villa,Semi-Furnished,23681515.0
2698,1,3.0,22.0,1,Mumbai,Independent House,Semi-Furnished,50546360.0
4046,5,1.0,22.0,2,Thane,Apartment,Unfurnished,49843267.0
3965,5,2.0,7.0,2,Pune,Apartment,Furnished,40145823.0
1250,1,3.0,9.0,3,Nagpur,Apartment,Semi-Furnished,6915508.0
3217,1,1.0,12.0,0,Mumbai,Apartment,Semi-Furnished,58621771.0
839,4,1.0,8.0,3,Nagpur,Apartment,Semi-Furnished,6278642.0
3200,1,1.0,36.0,1,Mumbai,Villa,Semi-Furnished,59028127.0
1867,4,1.0,15.0,0,Pune,Apartment,Unfurnished,18507340.0
2299,1,4.0,16.0,3,Pune,Independent House,Unfurnished,23221804.0
3370,4,3.0,26.0,2,Pune,Villa,Semi-Furnished,34558529.0
2199,2,4.0,31.0,2,Mumbai,Independent House,Unfurnished,41553070.0
3729,1,2.0,27.0,1,Thane,Apartment,Unfurnished,43955265.0
2634,1,3.0,22.0,3,Nagpur,Apartment,Semi-Furnished,13503538.0
4494,1,4.0,39.0,0,Nagpur,Villa,Semi-Furnished,21545870.0
3052,3,2.0,35.0,0,Thane,Apartment,Semi-Furnished,37176285.0
1685,1,3.0,8.0,0,Mumbai,Apartment,Furnished,31971903.0
3601,5,3.0,6.0,2,Nashik,Apartment,Semi-Furnished,23523055.0
2131,4,4.0,15.0,0,Nashik,Apartment,Unfurnished,13552378.0
2636,2,4.0,33.0,3,Pune,Villa,Furnished,27242670.0
1047,5,3.0,38.0,0,Nashik,Apartment,Semi-Furnished,8086991.0
977,4,3.0,28.0,2,Nagpur,Apartment,Semi-Furnished,5823636.0
2799,4,4.0,27.0,3,Nashik,Apartment,Furnished,18383390.0
1246,1,3.0,9.0,3,Nagpur,Apartment,Unfurnished,6395643.0
4490,4,2.0,23.0,1,Pune,Apartment,Semi-Furnished,42543457.0
3922,3,3.0,7.0,0,Nagpur,Independent House,Unfurnished,20071972.0
3303,5,3.0,21.0,3,Pune,Independent House,Unfurnished,33234341.0
3438,3,1.0,7.0,1,Thane,Independent House,Semi-Furnished,43589901.0
2880,4,3.0,3.0,3,Pune,Apartment,Unfurnished,29441193.0
741,2,3.0,38.0,0,Mumbai,Apartment,Unfurnished,13120755.0
2069,1,4.0,35.0,2,Mumbai,Apartment,Semi-Furnished,37863994.0
2483,1,3.0,27.0,0,Pune,Villa,Semi-Furnished,24870078.0
4161,5,1.0,25.0,1,Mumbai,Villa,Semi-Furnished,78064866.0
1377,4,4.0,9.0,0,Pune,Villa,Unfurnished,16266240.0
2487,2,3.0,22.0,3,Nashik,Apartment,Semi-Furnished,15345024.0
1876,4,2.0,29.0,2,Thane,Apartment,Semi-Furnished,23429105.0
1037,1,4.0,21.0,0,Mumbai,Independent House,Semi-Furnished,19821418.0
912,1,2.0,11.0,1,Nashik,Apartment,Semi-Furnished,5726432.0
1961,3,2.0,15.0,1,Thane,Independent House,Furnished,26298551.0
829,4,4.0,33.0,2,Mumbai,Villa,Unfurnished,18077261.0
768,5,4.0,10.0,1,Thane,Apartment,Semi-Furnished,12881094.0
1903,4,3.0,38.0,1,Mumbai,Independent House,Furnished,37421446.0
1307,2,2.0,30.0,3,Mumbai,Independent House,Semi-Furnished,26280235.0
2719,5,4.0,35.0,2,Pune,Villa,Furnished,29120819.0
570,3,1.0,20.0,3,Pune,Apartment,Semi-Furnished,6839461.0
1707,5,3.0,8.0,3,Nashik,Apartment,Semi-Furnished,13017304.0
2313,1,3.0,1.0,3,Thane,Villa,Unfurnished,31390121.0
4352,1,4.0,21.0,3,Pune,Apartment,Unfurnished,40287265.0
3038,1,2.0,15.0,2,Thane,Apartment,Semi-Furnished,37930953.0
4022,5,4.0,4.0,2,Mumbai,Apartment,Semi-Furnished,76719194.0
1873,1,1.0,37.0,2,Mumbai,Apartment,Furnished,34157713.0
2298,5,4.0,38.0,0,Thane,Villa,Furnished,32405578.0
2181,4,1.0,14.0,3,Thane,Apartment,Unfurnished,28074041.0
4049,1,3.0,26.0,2,Nashik,Apartment,Semi-Furnished,22754295.0
4336,5,1.0,16.0,3,Pune,Apartment,Furnished,42062380.0
4349,1,4.0,19.0,2,Pune,Apartment,Furnished,40953374.0
3507,1,4.0,24.0,1,Pune,Apartment,Furnished,32505364.0
2512,3,1.0,16.0,1,Nagpur,Apartment,Semi-Furnished,12507985.0
2663,2,4.0,32.0,3,Mumbai,Apartment,Furnished,49261073.0
4422,2,2.0,7.0,2,Nagpur,Apartment,Semi-Furnished,21963782.0
1638,1,3.0,26.0,3,Pune,Villa,Unfurnished,17141219.0
1886,4,1.0,39.0,2,Mumbai,Apartment,Unfurnished,33611988.0
4087,1,1.0,34.0,2,Mumbai,Apartment,Semi-Furnished,73131663.0
2045,2,1.0,1.0,0,Nashik,Apartment,Furnished,14168835.0
1440,3,3.0,4.0,0,Nashik,Villa,Semi-Furnished,12403401.0
2741,3,3.0,25.0,2,Thane,Apartment,Semi-Furnished,34806451.0
1801,4,4.0,36.0,0,Thane,Apartment,Semi-Furnished,22813086.0
4063,2,1.0,33.0,0,Nagpur,Villa,Semi-Furnished,20212777.0
4136,4,3.0,36.0,3,Pune,Villa,Unfurnished,40307471.0
1724,4,1.0,5.0,2,Thane,Apartment,Semi-Furnished,22989464.0
2618,2,2.0,20.0,0,Thane,Villa,Unfurnished,33393795.0
4435,2,1.0,29.0,1,Thane,Villa,Semi-Furnished,55187936.0
3469,3,1.0,24.0,1,Mumbai,Apartment,Semi-Furnished,62852097.0
1362,3,3.0,31.0,0,Pune,Independent House,Semi-Furnished,13712395.0
2862,1,4.0,8.0,2,Nagpur,Apartment,Semi-Furnished,14699239.0
2979,3,3.0,18.0,1,Mumbai,Villa,Furnished,57420401.0
3113,1,4.0,17.0,3,Mumbai,Independent House,Furnished,59038587.0
600,3,3.0,37.0,0,Mumbai,Independent House,Unfurnished,11327456.0
1697,5,1.0,8.0,3,Nashik,Apartment,Unfurnished,12334097.0
3918,3,2.0,13.0,0,Mumbai,Villa,Unfurnished,74460216.0
1465,4,4.0,0.0,3,Nagpur,Apartment,Unfurnished,10394828.0
1698,2,1.0,6.0,3,Nashik,Apartment,Unfurnished,11237741.0
1789,5,1.0,39.0,1,Nashik,Independent House,Furnished,12851255.0
1209,5,4.0,33.0,1,Pune,Apartment,Furnished,13780514.0
1121,5,1.0,10.0,0,Thane,Independent House,Unfurnished,16490935.0
1888,4,4.0,28.0,1,Mumbai,Apartment,Furnished,36152463.0
3997,4,4.0,23.0,2,Mumbai,Apartment,Furnished,75266525.0
506,3,3.0,36.0,2,Mumbai,Apartment,Semi-Furnished,10551819.0
1632,5,3.0,12.0,0,Mumbai,Apartment,Furnished,32567646.0
742,5,1.0,39.0,0,Nagpur,Apartment,Furnished,5125702.0
2745,3,2.0,14.0,2,Pune,Apartment,Furnished,26902725.0
1502,1,4.0,28.0,2,Thane,Independent House,Semi-Furnished,19650385.0
3667,1,4.0,15.0,3,Pune,Villa,Semi-Furnished,36891797.0
2840,2,2.0,26.0,3,Thane,Villa,Unfurnished,36713737.0
3635,1,4.0,13.0,2,Nashik,Apartment,Furnished,22048125.0
3039,2,4.0,33.0,2,Pune,Apartment,Unfurnished,27804550.0
2253,1,1.0,25.0,2,Nashik,Villa,Semi-Furnished,14580148.0
3943,5,3.0,11.0,1,Mumbai,Apartment,Unfurnished,72778070.0
2405,1,3.0,38.0,2,Thane,Apartment,Semi-Furnished,28679004.0
4299,4,3.0,28.0,0,Nagpur,Independent House,Unfurnished,20926201.0
4478,2,4.0,17.0,3,Nashik,Apartment,Furnished,27224334.0
2856,1,4.0,5.0,3,Mumbai,Independent House,Semi-Furnished,55137878.0
3198,4,3.0,38.0,1,Thane,Apartment,Semi-Furnished,39920721.0
1522,5,2.0,30.0,1,Nagpur,Apartment,Semi-Furnished,8548826.0
3758,4,4.0,26.0,1,Nashik,Apartment,Semi-Furnished,22531031.0
3186,5,4.0,33.0,3,Mumbai,Independent House,Furnished,61148760.0
4110,3,3.0,24.0,0,Mumbai,Villa,Furnished,78579828.0
1568,4,3.0,9.0,1,Nagpur,Villa,Furnished,12166628.0
3650,1,1.0,9.0,2,Nashik,Apartment,Semi-Furnished,21274888.0
2381,5,2.0,3.0,2,Thane,Independent House,Furnished,32581992.0
1240,4,1.0,2.0,1,Nashik,Apartment,Semi-Furnished,8918578.0
1184,2,3.0,29.0,0,Nashik,Apartment,Semi-Furnished,7192120.0
2748,2,4.0,34.0,2,Mumbai,Villa,Semi-Furnished,52099827.0
1777,4,1.0,6.0,2,Nagpur,Villa,Semi-Furnished,12466376.0
907,1,4.0,22.0,3,Mumbai,Villa,Semi-Furnished,19569945.0
2208,5,1.0,4.0,0,Thane,Apartment,Semi-Furnished,29566204.0
3111,2,1.0,16.0,0,Mumbai,Independent House,Semi-Furnished,57006877.0
1775,1,4.0,31.0,1,Nagpur,Apartment,Semi-Furnished,8070147.0
4321,2,1.0,32.0,2,Thane,Independent House,Semi-Furnished,53217174.0
3618,5,3.0,37.0,0,Nagpur,Apartment,Semi-Furnished,17639669.0
2550,2,4.0,12.0,0,Mumbai,Apartment,Furnished,48060375.0
4238,3,2.0,37.0,1,Nagpur,Apartment,Unfurnished,19300062.0
2231,5,1.0,31.0,1,Pune,Apartment,Unfurnished,20873780.0
1058,1,2.0,13.0,2,Pune,Apartment,Semi-Furnished,10768522.0
643,4,1.0,13.0,0,Nagpur,Independent House,Unfurnished,5538293.0
4252,2,3.0,4.0,3,Thane,Villa,Unfurnished,54843286.0
4339,4,4.0,36.0,0,Pune,Apartment,Semi-Furnished,40875328.0
3457,1,4.0,8.0,1,Thane,Apartment,Unfurnished,41736176.0
912,1,4.0,10.0,3,Mumbai,Villa,Semi-Furnished,19942284.0
1674,4,4.0,16.0,2,Thane,Independent House,Unfurnished,23849549.0
664,5,4.0,5.0,3,Nagpur,Apartment,Unfurnished,6139041.0
704,5,4.0,32.0,0,Thane,Independent House,Semi-Furnished,11147973.0
1484,4,3.0,27.0,2,Thane,Apartment,Furnished,20311179.0
2788,3,4.0,6.0,0,Thane,Villa,Semi-Furnished,37798206.0
762,1,2.0,6.0,2,Nashik,Villa,Semi-Furnished,7260386.0
4438,2,2.0,0.0,1,Pune,Apartment,Semi-Furnished,42851608.0
2320,4,4.0,37.0,3,Mumbai,Apartment,Semi-Furnished,43878921.0
1555,2,2.0,17.0,0,Nagpur,Villa,Semi-Furnished,9441203.0
2564,3,2.0,26.0,3,Pune,Apartment,Unfurnished,23518222.0
3660,1,1.0,5.0,1,Thane,Apartment,Unfurnished,44732509.0
1750,3,2.0,9.0,2,Pune,Apartment,Semi-Furnished,17593040.0
690,2,3.0,21.0,2,Thane,Villa,Semi-Furnished,12508679.0
703,1,4.0,8.0,0,Mumbai,Apartment,Furnished,14896574.0
3907,1,1.0,24.0,1,Thane,Apartment,Semi-Furnished,47315987.0
946,3,3.0,36.0,2,Thane,Independent House,Semi-Furnished,13623909.0
3042,2,4.0,12.0,3,Mumbai,Villa,Semi-Furnished,59400706.0
2038,1,4.0,24.0,3,Nagpur,Apartment,Semi-Furnished,9383093.0
3610,3,4.0,36.0,2,Pune,Apartment,Semi-Furnished,33358528.0
742,1,1.0,35.0,1,Thane,Apartment,Unfurnished,8499362.0
4091,1,2.0,0.0,1,Thane,Apartment,Furnished,51897261.0
3292,1,4.0,4.0,1,Pune,Apartment,Semi-Furnished,31002123.0
2297,3,4.0,39.0,1,Pune,Apartment,Semi-Furnished,20934616.0
1328,5,3.0,37.0,1,Mumbai,Apartment,Semi-Furnished,25809385.0
4408,2,4.0,12.0,3,Pune,Villa,Furnished,44530436.0
1708,2,3.0,20.0,1,Thane,Apartment,Unfurnished,21392322.0
2462,2,1.0,22.0,0,Pune,Apartment,Furnished,23181167.0
2076,2,4.0,26.0,2,Thane,Independent House,Unfurnished,26038665.0
1422,4,1.0,30.0,2,Thane,Apartment,Unfurnished,17805245.0
2166,2,2.0,14.0,1,Thane,Villa,Furnished,29570345.0
1105,4,1.0,35.0,2,Nashik,Apartment,Unfurnished,6490792.0
506,5,3.0,2.0,3,Pune,Apartment,Semi-Furnished,7630568.0
1659,5,1.0,1.0,3,Thane,Apartment,Semi-Furnished,23661131.0
948,3,3.0,38.0,3,Nagpur,Apartment,Furnished,6395593.0
2159,4,4.0,7.0,2,Thane,Independent House,Furnished,30360410.0
3951,5,4.0,39.0,0,Mumbai,Apartment,Semi-Furnished,72834313.0
1150,4,2.0,11.0,2,Pune,Apartment,Furnished,13236390.0
504,2,4.0,14.0,3,Thane,Apartment,Unfurnished,7568763.0
944,1,2.0,1.0,3,Thane,Apartment,Semi-Furnished,13489925.0
2532,1,3.0,37.0,3,Pune,Apartment,Furnished,23910794.0
1599,5,3.0,14.0,3,Nagpur,Apartment,Semi-Furnished,11019147.0
2458,3,1.0,6.0,2,Pune,Apartment,Semi-Furnished,24756268.0
616,2,1.0,19.0,0,Nashik,Villa,Furnished,6310687.0
1832,2,1.0,6.0,1,Mumbai,Independent House,Semi-Furnished,36784947.0
2140,2,4.0,31.0,1,Mumbai,Apartment,Furnished,40747478.0
2225,5,4.0,2.0,3,Pune,Independent House,Unfurnished,24418837.0
2704,4,2.0,19.0,3,Pune,Apartment,Semi-Furnished,26782969.0
3622,5,4.0,15.0,1,Mumbai,Apartment,Furnished,67982384.0
2368,2,1.0,1.0,1,Pune,Villa,Semi-Furnished,24904266.0
3864,3,4.0,2.0,0,Mumbai,Villa,Semi-Furnished,74855163.0
2618,1,1.0,20.0,0,Nashik,Apartment,Furnished,16350587.0
1541,5,1.0,15.0,1,Nagpur,Independent House,Semi-Furnished,10309925.0
1416,3,4.0,5.0,0,Nagpur,Independent House,Unfurnished,9622697.0
1789,3,2.0,5.0,1,Pune,Apartment,Unfurnished,18153390.0
2889,3,2.0,32.0,3,Pune,Apartment,Semi-Furnished,28181867.0
1469,2,4.0,29.0,2,Thane,Villa,Semi-Furnished,20295662.0
4156,5,2.0,24.0,2,Thane,Independent House,Unfurnished,53976981.0
2419,3,4.0,33.0,0,Thane,Apartment,Furnished,30585318.0
3953,4,1.0,2.0,3,Thane,Apartment,Unfurnished,49399431.0
3233,1,1.0,27.0,2,Nashik,Villa,Furnished,20149632.0
1833,2,2.0,30.0,2,Thane,Apartment,Furnished,22891678.0
1413,5,3.0,8.0,1,Mumbai,Villa,Semi-Furnished,30702665.0
3475,1,1.0,21.0,2,Nagpur,Apartment,Furnished,15903923.0
1822,1,1.0,30.0,3,Thane,Villa,Unfurnished,23467738.0
1487,5,3.0,24.0,2,Nagpur,Apartment,Semi-Furnished,9650286.0
4221,2,2.0,9.0,1,Mumbai,Apartment,Furnished,78775275.0
2430,2,2.0,26.0,2,Mumbai,Villa,Furnished,47306273.0
694,3,1.0,30.0,3,Pune,Apartment,Unfurnished,7525574.0
2479,1,1.0,0.0,1,Mumbai,Apartment,Unfurnished,45229450.0
2343,1,1.0,22.0,3,Thane,Apartment,Unfurnished,28433386.0
3955,1,3.0,20.0,2,Nagpur,Independent House,Furnished,19354348.0
3346,1,1.0,14.0,0,Pune,Apartment,Unfurnished,30062705.0
1265,1,1.0,1.0,3,Nagpur,Villa,Semi-Furnished,9356538.0
1101,4,4.0,3.0,2,Mumbai,Apartment,Semi-Furnished,23542755.0
2914,2,2.0,30.0,1,Nashik,Independent House,Semi-Furnished,16898665.0
689,1,3.0,33.0,0,Mumbai,Apartment,Semi-Furnished,12276425.0
1776,1,2.0,16.0,3,Nashik,Apartment,Semi-Furnished,10845158.0
1052,3,4.0,37.0,3,Nagpur,Apartment,Semi-Furnished,6080916.0
582,5,4.0,37.0,0,Nagpur,Apartment,Semi-Furnished,4845253.0
4175,2,2.0,26.0,2,Nagpur,Independent House,Semi-Furnished,20649928.0
859,1,3.0,23.0,0,Mumbai,Villa,,17856697.0
537,2,2.0,38.0,1,Nagpur,Villa,Semi-Furnished,4176171.0
4231,3,4.0,24.0,2,Pune,Villa,Furnished,42868171.0
1253,1,2.0,37.0,0,Mumbai,Independent House,Semi-Furnished,23666655.0
3766,5,4.0,39.0,2,Nashik,Independent House,Semi-Furnished,23734246.0
625,4,3.0,7.0,1,Nagpur,Villa,Unfurnished,8275265.0
1114,2,3.0,26.0,2,Thane,Apartment,Unfurnished,13733085.0
942,5,2.0,29.0,3,Mumbai,Apartment,Furnished,20249239.0
3325,2,4.0,32.0,0,Thane,Apartment,Furnished,40772050.0
2980,1,3.0,13.0,3,Mumbai,Villa,Unfurnished,56877861.0
2402,5,4.0,34.0,0,Nashik,Apartment,Semi-Furnished,15573752.0
1466,5,4.0,19.0,0,Thane,Apartment,Semi-Furnished,19936718.0
855,2,1.0,15.0,1,Nagpur,Villa,Semi-Furnished,6668729.0
2776,3,4.0,6.0,1,Thane,Apartment,Unfurnished,36382483.0
1422,1,4.0,12.0,0,Thane,Apartment,Furnished,18547564.0
2860,4,1.0,38.0,1,Pune,Independent House,Unfurnished,27250840.0
3249,4,4.0,28.0,3,Thane,Apartment,Furnished,42078968.0
3897,4,3.0,29.0,2,Thane,Apartment,Unfurnished,48204973.0
2475,3,2.0,35.0,2,Mumbai,Apartment,Semi-Furnished,44730991.0
518,4,1.0,10.0,0,Pune,Apartment,Unfurnished,6584881.0
1622,3,2.0,26.0,0,Mumbai,Apartment,Unfurnished,29751227.0
3913,5,1.0,14.0,1,Thane,Apartment,Furnished,50432731.0
2633,1,3.0,33.0,3,Thane,Villa,Semi-Furnished,34090291.0
2976,3,3.0,16.0,3,Thane,Villa,Unfurnished,39381011.0
2331,3,3.0,34.0,0,Mumbai,Apartment,Furnished,43525643.0
1150,3,3.0,29.0,1,Pune,Apartment,Unfurnished,10735611.0
4086,1,2.0,30.0,1,Nashik,Apartment,Unfurnished,22804148.0
3591,2,3.0,37.0,2,Mumbai,Apartment,Unfurnished,64629064.0
4480,5,4.0,31.0,0,Pune,Apartment,Semi-Furnished,42356847.0
3921,1,1.0,12.0,1,Pune,Apartment,Furnished,37150533.0
1664,4,2.0,20.0,3,Pune,Apartment,Unfurnished,16927304.0
1517,4,4.0,18.0,1,Pune,Independent House,Semi-Furnished,17126597.0
1493,3,4.0,2.0,3,Nagpur,Apartment,Unfurnished,9694719.0
4175,1,4.0,23.0,2,Mumbai,Independent House,Unfurnished,77091693.0
2727,1,1.0,17.0,2,Mumbai,Apartment,Semi-Furnished,49742747.0
2317,2,2.0,15.0,1,Nashik,Villa,Semi-Furnished,16288549.0
4373,1,1.0,4.0,3,Thane,Apartment,Semi-Furnished,53444251.0
2913,1,4.0,20.0,0,Nagpur,Villa,Unfurnished,15476314.0
4137,1,3.0,23.0,3,Nashik,Independent House,Unfurnished,24703621.0
4438,1,1.0,4.0,3,Nagpur,Apartment,Semi-Furnished,21790808.0
817,5,1.0,25.0,2,Nagpur,Apartment,Semi-Furnished,4778028.0
1946,4,3.0,6.0,3,Nagpur,Independent House,,12990033.0
3436,1,4.0,5.0,2,Mumbai,Independent House,Unfurnished,63861683.0
3752,4,4.0,16.0,2,Nashik,Independent House,Furnished,25574597.0
1093,1,4.0,15.0,0,Mumbai,Apartment,Unfurnished,20198197.0
1773,3,4.0,36.0,0,Mumbai,Apartment,Semi-Furnished,33492617.0
2692,1,4.0,2.0,0,Pune,Apartment,Semi-Furnished,25530330.0
3696,1,4.0,13.0,0,Mumbai,Villa,Unfurnished,69303789.0
951,1,4.0,29.0,3,Mumbai,Apartment,Semi-Furnished,18161573.0
2902,3,2.0,9.0,0,Nashik,Apartment,Semi-Furnished,19104831.0
1685,3,4.0,39.0,0,Mumbai,Apartment,Semi-Furnished,31760067.0
1365,2,4.0,29.0,3,Pune,Apartment,Furnished,14776248.0
2561,4,1.0,37.0,1,Mumbai,Villa,Semi-Furnished,49690513.0
2156,4,3.0,37.0,3,Mumbai,Apartment,Unfurnished,40175695.0
3042,4,2.0,4.0,3,Nagpur,Independent House,Semi-Furnished,17784222.0
1770,3,1.0,18.0,2,Mumbai,Apartment,Semi-Furnished,33323914.0
3793,3,1.0,29.0,3,Pune,Apartment,Semi-Furnished,35474517.0
812,3,1.0,0.0,3,Pune,Apartment,Furnished,9201445.0
3947,2,4.0,18.0,0,Mumbai,Apartment,Unfurnished,72047047.0
619,3,4.0,27.0,0,Pune,Apartment,Unfurnished,6673056.0
3443,1,1.0,31.0,1,Mumbai,Independent House,Unfurnished,62233867.0
1885,5,3.0,16.0,2,Nashik,Apartment,Furnished,13238592.0
2033,2,3.0,34.0,3,Thane,Apartment,Semi-Furnished,25318574.0
576,4,3.0,26.0,0,Nagpur,Villa,Semi-Furnished,5451835.0
3308,5,3.0,1.0,0,Pune,Apartment,Semi-Furnished,34020191.0
1161,3,4.0,11.0,1,Mumbai,Apartment,Furnished,23762192.0
3136,5,3.0,37.0,1,Nagpur,Apartment,Furnished,15513783.0
3400,3,3.0,0.0,3,Pune,Apartment,Semi-Furnished,33647070.0
3880,1,3.0,4.0,1,Thane,Apartment,Furnished,49142929.0
3332,1,2.0,13.0,3,Nashik,Apartment,Furnished,20245235.0
1706,1,4.0,39.0,0,Pune,Apartment,Semi-Furnished,14942765.0
3454,5,2.0,28.0,0,Pune,Apartment,Semi-Furnished,32630788.0
3803,3,4.0,5.0,3,Thane,Villa,Semi-Furnished,50446919.0
1768,2,3.0,15.0,0,Thane,Villa,Semi-Furnished,24218151.0
996,3,3.0,37.0,0,Thane,Apartment,Furnished,12635195.0
4060,2,4.0,8.0,2,Mumbai,Apartment,Semi-Furnished,75409581.0
1091,5,3.0,23.0,0,Nagpur,Villa,Unfurnished,7959320.0
2875,5,3.0,18.0,0,Pune,Apartment,Semi-Furnished,28902070.0
1445,1,3.0,30.0,1,Mumbai,Independent House,Semi-Furnished,27871998.0
1004,4,3.0,30.0,2,Nagpur,Apartment,Unfurnished,5476566.0
3605,2,2.0,33.0,2,Thane,Apartment,Semi-Furnished,43547510.0
1074,1,3.0,4.0,2,Mumbai,Apartment,Unfurnished,20501650.0
3180,5,4.0,18.0,0,Mumbai,Villa,Furnished,62375817.0
3272,1,3.0,27.0,1,Pune,Apartment,Unfurnished,29593581.0
740,2,4.0,16.0,1,Mumbai,Apartment,Unfurnished,14808374.0
1191,1,4.0,26.0,1,Pune,Apartment,Furnished,12246875.0
3677,3,2.0,25.0,2,Thane,Villa,Unfurnished,47583239.0
2529,3,1.0,14.0,0,Pune,Apartment,Semi-Furnished,24188164.0
985,2,2.0,4.0,2,Nagpur,Villa,Semi-Furnished,7706383.0
4467,1,4.0,38.0,3,Pune,Apartment,Furnished,40568868.0
1559,1,4.0,33.0,2,Mumbai,Apartment,Unfurnished,28958104.0
516,5,3.0,35.0,1,Pune,Apartment,Unfurnished,6303345.0
4196,5,4.0,11.0,1,Mumbai,Independent House,Unfurnished,79500904.0
566,5,1.0,12.0,2,Nashik,Apartment,Furnished,6575055.0
2713,3,3.0,12.0,2,Nashik,Apartment,Furnished,17853621.0
4472,3,3.0,1.0,1,Thane,Independent House,Unfurnished,57088935.0
2811,4,3.0,6.0,0,Mumbai,Apartment,Unfurnished,52680335.0
2838,4,3.0,12.0,2,Nashik,Apartment,Unfurnished,18393838.0
2052,3,2.0,39.0,2,Thane,Apartment,Unfurnished,24647811.0
1007,2,3.0,8.0,0,Pune,Villa,Unfurnished,11706521.0
2790,3,3.0,20.0,2,Thane,Apartment,Furnished,35179120.0
4089,1,4.0,21.0,0,Thane,Independent House,Unfurnished,50361024.0
864,1,1.0,14.0,2,Thane,Villa,Furnished,14098376.0
4021,4,2.0,36.0,2,Nashik,Apartment,Unfurnished,22769692.0
2160,5,2.0,3.0,0,Nagpur,Apartment,Furnished,12699653.0
2644,1,1.0,34.0,2,Mumbai,Villa,,49380173.0
1161,1,2.0,29.0,0,Nashik,Independent House,Unfurnished,6592519.0
2987,1,2.0,12.0,1,Thane,Independent House,Furnished,39070720.0
1229,4,2.0,30.0,2,Pune,Apartment,Unfurnished,12704569.0
1592,2,2.0,17.0,1,Nagpur,Villa,Furnished,10122097.0
3386,2,3.0,38.0,3,Nashik,Villa,Furnished,21634747.0
702,1,3.0,1.0,3,Pune,Independent House,Furnished,9668128.0
2288,5,2.0,1.0,3,Nashik,Apartment,Furnished,16301773.0
2878,3,4.0,21.0,0,Nagpur,Villa,Unfurnished,16025829.0
1028,4,2.0,37.0,0,Nashik,Villa,Semi-Furnished,8772205.0
1679,4,3.0,2.0,0,Thane,Independent House,Semi-Furnished,24061232.0
1874,1,1.0,31.0,2,Mumbai,Villa,Semi-Furnished,35309732.0
3154,5,1.0,37.0,1,Thane,Independent House,Semi-Furnished,39185194.0
4406,3,2.0,19.0,2,Nashik,Apartment,Unfurnished,25193383.0
3844,4,2.0,34.0,1,Thane,Apartment,Semi-Furnished,47656312.0
1259,2,2.0,30.0,0,Pune,Apartment,,11127127.0
